Ticket Id,Status (Ticket),Ticket Closed Time,First Response Time
6565.0,Closed,18-05-2021 20:37,15-05-2021 14:46
6685.0,Closed,16-05-2021 19:19,16-05-2021 16:59
6699.0,Closed,16-05-2021 21:24,16-05-2021 16:30
6738.0,Deleted,16-05-2021 20:06,
6739.0,Closed,18-05-2021 21:52,16-05-2021 21:17
6835.0,Closed,18-05-2021 18:57,18-05-2021 18:20
6828.0,Closed,18-05-2021 18:54,18-05-2021 18:19
6888.0,Closed,20-05-2021 11:27,18-05-2021 19:13
6899.0,Closed,19-05-2021 11:10,18-05-2021 19:15
6906.0,Closed,18-05-2021 23:39,18-05-2021 19:24
6907.0,Closed,18-05-2021 23:39,
6937.0,Closed,18-05-2021 23:43,18-05-2021 21:25
6998.0,Closed,19-05-2021 17:27,19-05-2021 12:32
7007.0,Deleted,19-05-2021 13:37,
7009.0,Closed,20-05-2021 12:38,19-05-2021 14:13
7066.0,Deleted,19-05-2021 22:10,
7067.0,Closed,19-05-2021 22:44,19-05-2021 22:36
7079.0,Closed,20-05-2021 21:30,20-05-2021 10:09
7092.0,Closed,20-05-2021 13:14,20-05-2021 11:49
7109.0,Closed,20-05-2021 14:47,20-05-2021 14:15
7115.0,Closed,21-05-2021 21:46,20-05-2021 14:27
7131.0,Closed,20-05-2021 19:49,20-05-2021 17:03
7177.0,Deleted,20-05-2021 23:57,
6400.0,Closed,14-05-2021 11:18,14-05-2021 08:32
6417.0,Closed,14-05-2021 19:05,14-05-2021 19:05
6677.0,Closed,17-05-2021 22:35,18-05-2021 19:12
6686.0,Closed,18-05-2021 19:13,17-05-2021 00:13
6690.0,Closed,18-05-2021 17:06,18-05-2021 19:24
6723.0,Resolved,16-05-2021 21:32,16-05-2021 19:40
6837.0,Closed,19-05-2021 12:28,18-05-2021 18:19
6850.0,Closed,18-05-2021 22:25,18-05-2021 20:14
6865.0,Duplicate,18-05-2021 22:48,
6896.0,Closed,19-05-2021 12:27,19-05-2021 12:28
6933.0,Closed,18-05-2021 23:43,18-05-2021 20:56
6957.0,Deleted,19-05-2021 11:16,
6958.0,Deleted,19-05-2021 11:16,
7005.0,Closed,19-05-2021 23:05,19-05-2021 22:36
7020.0,Closed,19-05-2021 18:03,19-05-2021 18:03
7024.0,Deleted,19-05-2021 17:49,
7037.0,Closed,19-05-2021 18:02,19-05-2021 18:02
7150.0,Waiting for user response,-,20-05-2021 20:09
6402.0,Closed,14-05-2021 19:04,14-05-2021 14:45
6404.0,Deleted,14-05-2021 01:13,
6405.0,Closed,18-05-2021 19:15,14-05-2021 14:15
6407.0,Closed,16-05-2021 12:10,14-05-2021 21:26
6410.0,Deleted,14-05-2021 02:05,
6412.0,Closed,14-05-2021 19:05,14-05-2021 19:05
6422.0,Closed,17-05-2021 19:33,14-05-2021 12:14
6426.0,Closed,16-05-2021 12:44,14-05-2021 20:40
6428.0,Closed,14-05-2021 21:14,14-05-2021 15:06
6448.0,Closed,16-05-2021 12:41,14-05-2021 21:10
6464.0,Closed,16-05-2021 12:40,14-05-2021 20:38
6479.0,Closed,16-05-2021 12:38,14-05-2021 20:28
6501.0,Closed,16-05-2021 12:44,14-05-2021 20:31
6509.0,Closed,17-05-2021 11:48,14-05-2021 22:00
6510.0,Duplicate,17-05-2021 11:48,14-05-2021 23:08
6525.0,Closed,21-05-2021 17:53,15-05-2021 11:38
6526.0,Duplicate,15-05-2021 14:31,
6537.0,Deleted,15-05-2021 08:17,
6541.0,Closed,16-05-2021 12:48,15-05-2021 11:46
6542.0,Deleted,15-05-2021 09:20,
6543.0,Closed,15-05-2021 14:17,15-05-2021 14:17
6548.0,Closed,18-05-2021 19:15,15-05-2021 12:28
6549.0,Closed,17-05-2021 11:50,15-05-2021 12:27
6558.0,Closed,16-05-2021 12:32,15-05-2021 14:12
6559.0,Closed,16-05-2021 12:32,16-05-2021 12:08
6615.0,Closed,16-05-2021 12:31,16-05-2021 12:09
6624.0,Closed,18-05-2021 19:14,18-05-2021 19:13
6627.0,Waiting for mentor response,-,16-05-2021 22:30
6629.0,Closed,18-05-2021 18:47,16-05-2021 12:08
6631.0,Closed,17-05-2021 11:54,16-05-2021 12:09
6635.0,Closed,16-05-2021 15:37,16-05-2021 15:13
6633.0,Closed,20-05-2021 11:24,16-05-2021 20:20
6632.0,Deleted,16-05-2021 16:56,
6641.0,Closed,16-05-2021 19:25,16-05-2021 12:10
6651.0,Deleted,16-05-2021 12:23,
6665.0,Closed,16-05-2021 21:40,16-05-2021 19:24
6709.0,Closed,17-05-2021 12:06,17-05-2021 12:06
6727.0,Duplicate,16-05-2021 20:26,
6737.0,Closed,19-05-2021 17:12,16-05-2021 20:16
6743.0,Closed,18-05-2021 19:12,16-05-2021 21:31
6745.0,Closed,18-05-2021 17:16,18-05-2021 19:24
6747.0,Closed,18-05-2021 21:53,16-05-2021 21:12
6757.0,Closed,17-05-2021 12:10,17-05-2021 07:55
6760.0,Closed,18-05-2021 20:16,18-05-2021 19:24
6770.0,Deleted,17-05-2021 09:16,
6771.0,Closed,18-05-2021 19:08,18-05-2021 18:20
6773.0,Resolved,18-05-2021 22:17,18-05-2021 22:08
6780.0,Deleted,17-05-2021 12:08,
6787.0,Closed,18-05-2021 11:34,18-05-2021 18:20
6790.0,Closed,20-05-2021 11:25,18-05-2021 18:20
6824.0,Duplicate,19-05-2021 21:54,
6830.0,Closed,18-05-2021 19:04,18-05-2021 19:11
6849.0,Deleted,18-05-2021 18:20,
6851.0,Closed,18-05-2021 20:33,18-05-2021 19:12
6861.0,Resolved,18-05-2021 22:08,18-05-2021 19:13
6860.0,Closed,18-05-2021 23:33,18-05-2021 23:33
6873.0,Closed,18-05-2021 23:35,18-05-2021 23:35
