sprint_id,team_id,team_name,sprint_name,start_date,end_date,committed_points,completed_points,velocity_completion_pct,avg_cycle_time_days,bugs_logged
SPRINT-001,TEAM-ALPHA,Backend Core,Sprint 41.1,2026-04-06,2026-04-17,36,35,97.2,2.9,4
SPRINT-001,TEAM-ALPHA,Backend Core,Sprint 41.2,2026-04-06,2026-04-17,36,33,91.7,2.7,3
SPRINT-001,TEAM-ALPHA,Backend Core,Sprint 41.3,2026-04-06,2026-04-17,33,29,87.9,3.8,1
SPRINT-001,TEAM-ALPHA,Backend Core,Sprint 41.4,2026-04-06,2026-04-17,31,29,93.5,4.4,2
SPRINT-001,TEAM-ALPHA,Backend Core,Sprint 41.5,2026-04-06,2026-04-17,30,27,90.0,3.5,4
SPRINT-001,TEAM-ALPHA,Backend Core,Sprint 41.6,2026-04-06,2026-04-17,46,43,93.5,3.3,4
SPRINT-001,TEAM-BETA,Frontend Web,Sprint 41.1,2026-04-06,2026-04-17,45,40,88.9,2.7,2
SPRINT-001,TEAM-BETA,Frontend Web,Sprint 41.2,2026-04-06,2026-04-17,48,44,91.7,4.5,1
SPRINT-001,TEAM-BETA,Frontend Web,Sprint 41.3,2026-04-06,2026-04-17,32,31,96.9,3.9,1
SPRINT-001,TEAM-BETA,Frontend Web,Sprint 41.4,2026-04-06,2026-04-17,36,31,86.1,4.4,2
SPRINT-001,TEAM-BETA,Frontend Web,Sprint 41.5,2026-04-06,2026-04-17,47,43,91.5,2.5,2
SPRINT-001,TEAM-BETA,Frontend Web,Sprint 41.6,2026-04-06,2026-04-17,49,44,89.8,3.9,4
SPRINT-001,TEAM-GAMMA,DevOps & Infra,Sprint 41.1,2026-04-06,2026-04-17,37,32,86.5,4.3,4
SPRINT-001,TEAM-GAMMA,DevOps & Infra,Sprint 41.2,2026-04-06,2026-04-17,47,45,95.7,3.1,2
SPRINT-001,TEAM-GAMMA,DevOps & Infra,Sprint 41.3,2026-04-06,2026-04-17,39,36,92.3,2.6,2
SPRINT-001,TEAM-GAMMA,DevOps & Infra,Sprint 41.4,2026-04-06,2026-04-17,41,40,97.6,4.3,2
SPRINT-001,TEAM-GAMMA,DevOps & Infra,Sprint 41.5,2026-04-06,2026-04-17,45,41,91.1,3.6,4
SPRINT-001,TEAM-GAMMA,DevOps & Infra,Sprint 41.6,2026-04-06,2026-04-17,37,36,97.3,4.0,3
SPRINT-002,TEAM-ALPHA,Backend Core,Sprint 42.1,2026-04-20,2026-05-01,42,24,57.1,8.8,7
SPRINT-002,TEAM-ALPHA,Backend Core,Sprint 42.2,2026-04-20,2026-05-01,36,22,61.1,7.4,13
SPRINT-002,TEAM-ALPHA,Backend Core,Sprint 42.3,2026-04-20,2026-05-01,40,23,57.5,8.5,9
SPRINT-002,TEAM-ALPHA,Backend Core,Sprint 42.4,2026-04-20,2026-05-01,30,19,63.3,9.2,8
SPRINT-002,TEAM-ALPHA,Backend Core,Sprint 42.5,2026-04-20,2026-05-01,38,26,68.4,9.0,10
SPRINT-002,TEAM-ALPHA,Backend Core,Sprint 42.6,2026-04-20,2026-05-01,31,17,54.8,7.3,12
SPRINT-002,TEAM-BETA,Frontend Web,Sprint 42.1,2026-04-20,2026-05-01,34,32,94.1,3.8,3
SPRINT-002,TEAM-BETA,Frontend Web,Sprint 42.2,2026-04-20,2026-05-01,32,29,90.6,2.7,2
SPRINT-002,TEAM-BETA,Frontend Web,Sprint 42.3,2026-04-20,2026-05-01,32,31,96.9,3.6,3
SPRINT-002,TEAM-BETA,Frontend Web,Sprint 42.4,2026-04-20,2026-05-01,43,40,93.0,3.5,3
SPRINT-002,TEAM-BETA,Frontend Web,Sprint 42.5,2026-04-20,2026-05-01,39,36,92.3,2.9,4
SPRINT-002,TEAM-BETA,Frontend Web,Sprint 42.6,2026-04-20,2026-05-01,36,33,91.7,3.6,4
SPRINT-002,TEAM-GAMMA,DevOps & Infra,Sprint 42.1,2026-04-20,2026-05-01,34,20,58.8,7.4,9
SPRINT-002,TEAM-GAMMA,DevOps & Infra,Sprint 42.2,2026-04-20,2026-05-01,33,23,69.7,8.1,9
SPRINT-002,TEAM-GAMMA,DevOps & Infra,Sprint 42.3,2026-04-20,2026-05-01,31,20,64.5,7.0,11
SPRINT-002,TEAM-GAMMA,DevOps & Infra,Sprint 42.4,2026-04-20,2026-05-01,35,21,60.0,6.8,10
SPRINT-002,TEAM-GAMMA,DevOps & Infra,Sprint 42.5,2026-04-20,2026-05-01,40,24,60.0,6.4,7
SPRINT-002,TEAM-GAMMA,DevOps & Infra,Sprint 42.6,2026-04-20,2026-05-01,36,25,69.4,7.0,9
SPRINT-003,TEAM-ALPHA,Backend Core,Sprint 43.1,2026-05-04,2026-05-15,49,29,59.2,7.1,12
SPRINT-003,TEAM-ALPHA,Backend Core,Sprint 43.2,2026-05-04,2026-05-15,37,23,62.2,7.7,7
SPRINT-003,TEAM-ALPHA,Backend Core,Sprint 43.3,2026-05-04,2026-05-15,48,28,58.3,6.9,9
SPRINT-003,TEAM-ALPHA,Backend Core,Sprint 43.4,2026-05-04,2026-05-15,38,23,60.5,6.2,8
SPRINT-003,TEAM-ALPHA,Backend Core,Sprint 43.5,2026-05-04,2026-05-15,49,29,59.2,8.4,9
SPRINT-003,TEAM-ALPHA,Backend Core,Sprint 43.6,2026-05-04,2026-05-15,46,26,56.5,9.5,9
SPRINT-003,TEAM-BETA,Frontend Web,Sprint 43.1,2026-05-04,2026-05-15,46,45,97.8,3.3,3
SPRINT-003,TEAM-BETA,Frontend Web,Sprint 43.2,2026-05-04,2026-05-15,34,31,91.2,3.8,2
SPRINT-003,TEAM-BETA,Frontend Web,Sprint 43.3,2026-05-04,2026-05-15,31,29,93.5,3.4,2
SPRINT-003,TEAM-BETA,Frontend Web,Sprint 43.4,2026-05-04,2026-05-15,33,29,87.9,3.2,1
SPRINT-003,TEAM-BETA,Frontend Web,Sprint 43.5,2026-05-04,2026-05-15,35,32,91.4,3.8,2
SPRINT-003,TEAM-BETA,Frontend Web,Sprint 43.6,2026-05-04,2026-05-15,40,39,97.5,4.1,1
SPRINT-003,TEAM-GAMMA,DevOps & Infra,Sprint 43.1,2026-05-04,2026-05-15,35,23,65.7,9.0,10
SPRINT-003,TEAM-GAMMA,DevOps & Infra,Sprint 43.2,2026-05-04,2026-05-15,33,18,54.5,7.8,9
SPRINT-003,TEAM-GAMMA,DevOps & Infra,Sprint 43.3,2026-05-04,2026-05-15,49,32,65.3,6.6,7
SPRINT-003,TEAM-GAMMA,DevOps & Infra,Sprint 43.4,2026-05-04,2026-05-15,37,22,59.5,9.3,7
SPRINT-003,TEAM-GAMMA,DevOps & Infra,Sprint 43.5,2026-05-04,2026-05-15,40,24,60.0,6.4,13
SPRINT-003,TEAM-GAMMA,DevOps & Infra,Sprint 43.6,2026-05-04,2026-05-15,39,23,59.0,8.3,8
SPRINT-004,TEAM-ALPHA,Backend Core,Sprint 44.1,2026-05-18,2026-05-29,45,28,62.2,7.9,8
SPRINT-004,TEAM-ALPHA,Backend Core,Sprint 44.2,2026-05-18,2026-05-29,30,16,53.3,9.1,11
SPRINT-004,TEAM-ALPHA,Backend Core,Sprint 44.3,2026-05-18,2026-05-29,38,22,57.9,8.5,9
SPRINT-004,TEAM-ALPHA,Backend Core,Sprint 44.4,2026-05-18,2026-05-29,49,34,69.4,8.7,10
SPRINT-004,TEAM-ALPHA,Backend Core,Sprint 44.5,2026-05-18,2026-05-29,40,28,70.0,8.7,10
SPRINT-004,TEAM-ALPHA,Backend Core,Sprint 44.6,2026-05-18,2026-05-29,32,19,59.4,9.3,7
SPRINT-004,TEAM-BETA,Frontend Web,Sprint 44.1,2026-05-18,2026-05-29,47,42,89.4,3.6,2
SPRINT-004,TEAM-BETA,Frontend Web,Sprint 44.2,2026-05-18,2026-05-29,32,30,93.8,2.9,1
SPRINT-004,TEAM-BETA,Frontend Web,Sprint 44.3,2026-05-18,2026-05-29,33,29,87.9,3.2,4
SPRINT-004,TEAM-BETA,Frontend Web,Sprint 44.4,2026-05-18,2026-05-29,37,36,97.3,3.8,1
SPRINT-004,TEAM-BETA,Frontend Web,Sprint 44.5,2026-05-18,2026-05-29,45,40,88.9,3.2,3
SPRINT-004,TEAM-BETA,Frontend Web,Sprint 44.6,2026-05-18,2026-05-29,43,40,93.0,4.5,3
SPRINT-004,TEAM-GAMMA,DevOps & Infra,Sprint 44.1,2026-05-18,2026-05-29,37,24,64.9,8.8,12
SPRINT-004,TEAM-GAMMA,DevOps & Infra,Sprint 44.2,2026-05-18,2026-05-29,30,19,63.3,7.7,11
SPRINT-004,TEAM-GAMMA,DevOps & Infra,Sprint 44.3,2026-05-18,2026-05-29,45,26,57.8,6.1,7
SPRINT-004,TEAM-GAMMA,DevOps & Infra,Sprint 44.4,2026-05-18,2026-05-29,46,33,71.7,7.6,12
SPRINT-004,TEAM-GAMMA,DevOps & Infra,Sprint 44.5,2026-05-18,2026-05-29,35,21,60.0,6.1,11
SPRINT-004,TEAM-GAMMA,DevOps & Infra,Sprint 44.6,2026-05-18,2026-05-29,46,29,63.0,8.0,10
SPRINT-005,TEAM-ALPHA,Backend Core,Sprint 45.1,2026-06-01,2026-06-12,30,26,86.7,3.1,4
SPRINT-005,TEAM-ALPHA,Backend Core,Sprint 45.2,2026-06-01,2026-06-12,30,27,90.0,2.8,1
SPRINT-005,TEAM-ALPHA,Backend Core,Sprint 45.3,2026-06-01,2026-06-12,39,38,97.4,3.9,4
SPRINT-005,TEAM-ALPHA,Backend Core,Sprint 45.4,2026-06-01,2026-06-12,43,38,88.4,3.7,2
SPRINT-005,TEAM-ALPHA,Backend Core,Sprint 45.5,2026-06-01,2026-06-12,31,28,90.3,3.1,2
