Ticket Id,Student or WP,Program Name,Status (Ticket),Created Time (Ticket),Ticket Closed Time,First Response Time,Project Phase,day_of_week,hour,day_number,week_num,month,days_since_last_ticket
6403.0,Working Professionals,Fullstack Program,Closed,2021-05-14 01:09:00,14-05-2021 19:04,14-05-2021 08:51,trial phase,Friday,1.0,14.0,19,5.0,1909.0
6415.0,Working Professionals,Backend Program,Duplicate,2021-05-14 10:12:00,14-05-2021 11:23,,trial phase,Friday,10.0,14.0,19,5.0,1909.0
6420.0,Working Professionals,Fullstack Program,Closed,2021-05-14 11:46:00,16-05-2021 00:09,14-05-2021 18:14,trial phase,Friday,11.0,14.0,19,5.0,1908.0
6402.0,Student,Fullstack Program,Closed,2021-05-14 01:08:00,14-05-2021 19:04,14-05-2021 14:45,fullstack-phase-1,Friday,1.0,14.0,19,5.0,1909.0
6423.0,Working Professionals,Fellowship Program,Closed,2021-05-14 12:17:00,14-05-2021 20:39,14-05-2021 12:21,trial phase,Friday,12.0,14.0,19,5.0,1908.0
6429.0,Working Professionals,Fullstack Program,Closed,2021-05-14 13:04:00,16-05-2021 12:43,14-05-2021 20:44,fullstack-phase-1,Friday,13.0,14.0,19,5.0,1908.0
6404.0,Student,Fullstack Program,Deleted,2021-05-14 01:12:00,14-05-2021 01:13,,fullstack-phase-2,Friday,1.0,14.0,19,5.0,1909.0
6405.0,Student,Fullstack Program,Closed,2021-05-14 01:23:00,18-05-2021 19:15,14-05-2021 14:15,fullstack-phase-2,Friday,1.0,14.0,19,5.0,1909.0
6400.0,Student,Fellowship Program,Closed,2021-05-14 00:26:00,14-05-2021 11:18,14-05-2021 08:32,system-issues,Friday,0.0,14.0,19,5.0,1909.0
6411.0,Working Professionals,Backend Program,Closed,2021-05-14 02:15:00,17-05-2021 22:19,14-05-2021 11:54,backend-phase2,Friday,2.0,14.0,19,5.0,1909.0
6443.0,Working Professionals,Backend Program,Closed,2021-05-14 14:06:00,14-05-2021 20:45,14-05-2021 15:20,backend-phase2,Friday,14.0,14.0,19,5.0,1908.0
6401.0,Student,Fellowship Program,Closed,2021-05-14 00:26:00,15-05-2021 20:58,16-05-2021 12:10,system-issues,Friday,0.0,14.0,19,5.0,1909.0
6419.0,Working Professionals,Backend Program,Closed,2021-05-14 11:27:00,16-05-2021 12:13,14-05-2021 11:47,system-issues,Friday,11.0,14.0,19,5.0,1908.0
6407.0,Student,Fullstack Program,Closed,2021-05-14 01:28:00,16-05-2021 12:10,14-05-2021 21:26,fullstack-phase-4,Friday,1.0,14.0,19,5.0,1909.0
6448.0,Student,Fullstack Program,Closed,2021-05-14 14:31:00,16-05-2021 12:41,14-05-2021 21:10,fullstack-phase-4,Friday,14.0,14.0,19,5.0,1908.0
6412.0,Student,Fullstack Program,Closed,2021-05-14 02:26:00,14-05-2021 19:05,14-05-2021 19:05,fullstack-phase-1,Friday,2.0,14.0,19,5.0,1909.0
